"SampleID","S.stat","ind.station","BQI2009","sensitivitylistname","HELCOM_subbasin","STATN","Lat","Lon","WADEP","MYEAR","Date"
"2255622",5,71.1835334476844,5.63348570333505,"ES_SWE","Western Gotland Basin","OLE 3",57.10395,17.13127,36.5,2016,"2016-05-14T00:00:00"
"2255623",4,30.0171526586621,3.53385695484954,"ES_SWE","Western Gotland Basin","OLE 4",57.2528,17.19987,26.5,2016,"2016-05-14T00:00:00"
"2255624",6,79.7598627787307,4.95242737817973,"ES_SWE","Western Gotland Basin","OLE 5",57.05263,17.1478,50,2016,"2016-05-14T00:00:00"
"2255625",8,151.80102915952,6.4573669488279,"ES_SWE","Western Gotland Basin","OLE 6",57.01398,17.06898,35.5,2016,"2016-05-14T00:00:00"
"2255626",8,234.133790737564,4.68666868711267,"ES_SWE","Western Gotland Basin","OLE 7",56.91103,16.97392,20.5,2016,"2016-05-14T00:00:00"
"2255627",5,30.8747855917667,3.59652342993476,"ES_SWE","Western Gotland Basin","OLE 8",57.24092,17.14818,23,2016,"2016-05-14T00:00:00"
"2255628",8,125.214408233276,7.09018806935011,"ES_SWE","Western Gotland Basin","OLE 9",56.92098,17.03997,40,2016,"2016-05-14T00:00:00"
"2255629",10,154.066985645933,7.04654999300413,"ES_SWE","Arkona Basin","P204",55.22467,13.41835,41.5,2016,"2016-05-16T00:00:00"
"2255630",7,58.3732057416268,9.13131551760309,"ES_SWE","Arkona Basin","P206",55.22508,13.63362,43.5,2016,"2016-05-16T00:00:00"
"2255631",3,65.180102915952,3.02099788392901,"ES_SWE","Bornholm Basin","PMK 14",55.83292,15.8442,55,2016,"2016-05-15T00:00:00"
"2255632",10,78.9022298456261,8.46377015542548,"ES_SWE","Bornholm Basin","PMK 15",55.8628,15.84048,43,2016,"2016-05-15T00:00:00"
"2255633",6,48.885077186964,4.63045162749328,"ES_SWE","Bornholm Basin","PMK 16",55.82077,15.68302,50.5,2016,"2016-05-15T00:00:00"
"2255634",10,99.4854202401372,5.78409026477112,"ES_SWE","Bornholm Basin","PMK 17",55.88232,15.72692,43,2016,"2016-05-15T00:00:00"
"2255635",9,84.0480274442539,6.11615140132909,"ES_SWE","Bornholm Basin","PMK 18",55.95252,15.89358,40,2016,"2016-05-15T00:00:00"
"2255636",11,84.0480274442538,6.72128035356638,"ES_SWE","Bornholm Basin","PMK 19",55.85677,15.77268,46.5,2016,"2016-05-15T00:00:00"
"2255637",10,96.9125214408233,5.88553417603509,"ES_SWE","Bornholm Basin","PMK 52",55.912,15.8699,44,2016,"2016-05-15T00:00:00"
"2255638",9,71.1835334476844,5.88420820529138,"ES_SWE","Bornholm Basin","PMK 53",55.8542,15.91265,44.5,2016,"2016-05-15T00:00:00"
"2255639",5,33.4476843910806,2.80452842224244,"ES_SWE","Bornholm Basin","PMK 54",55.91752,15.76028,30,2016,"2016-05-15T00:00:00"
"2255640",12,394.51114922813,5.83829993928164,"ES_SWE","Arkona Basin","SK 4",55.27817,13.30987,31.5,2016,"2016-05-16T00:00:00"
"2255641",12,373.927958833619,5.94684574445154,"ES_SWE","Arkona Basin","SK 6",55.29095,13.16667,32,2016,"2016-05-16T00:00:00"
"2255642",4,45.4545454545455,3.80445385242953,"ES_SWE","Bornholm Basin","TORH 11",55.83282,15.79725,52,2016,"2016-05-15T00:00:00"
"2255643",8,52.3156089193825,6.29054075835357,"ES_SWE","Bornholm Basin","TORH 13",55.7498,15.72572,51,2016,"2016-05-15T00:00:00"
"2255644",3,52.6315789473684,2.9227617939978,"ES_SWE","Western Gotland Basin","VAE 21",57.79337,16.93567,56,2016,"2016-05-13T00:00:00"
