Number;WoRMS_AphiaID;WoRMS_Name;WoRMS_acc_AphiaID;WoRMS_accName;BQI_treatment;EIG1;EIG2;EIG3;EIG4;EIG5;EIG6;EIG7;EIG8;EIG9;EIG10;EIG11;EIG12;EIG13;EIG14;EIG15;EIG16;EIG17;EIG18;EIG19;ES_SWE
399;124593;Echinocucumis hispida;124593;Echinocucumis hispida;124593;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
400;124273;Echinocyamus pusillus;124273;Echinocyamus pusillus;124273;NA;7.7;15.47;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
401;128378;Echinocythereis echinata;128378;Echinocythereis echinata;1078;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;490103;Echinogammarus finmarchicus;490103;Echinogammarus finmarchicus;490103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
403;102261;Echinogammarus marinus;102261;Echinogammarus marinus;102261;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
404;102267;Echinogammarus stoerensis;102267;Echinogammarus stoerensis;102267;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
405;123082;Echinoidea;123082;Echinoidea;123082;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
406;118669;Echinozone coronata;118669;Echinozone coronata;118669;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
407;110377;Echiurus echiurus;110377;Echiurus echiurus;110377;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
408;238104;Ecrobia ventrosa;238104;Ecrobia ventrosa;238104;NA;NA;NA;4.7;NA;6.85;NA;NA;NA;NA;NA;NA;4.11;NA;NA;NA;NA;NA;NA;5
409;2601;Ectoprocta;146142;Bryozoa;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
410;100730;Edwardsia;100730;Edwardsia;100730;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
411;100882;Edwardsia danica;100882;Edwardsia danica;100882;8.11;10.75;10.66;5.82;5.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
412;100889;Edwardsia longicornis;100889;Edwardsia longicornis;100889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
413;100894;Edwardsia tuberculata;100894;Edwardsia tuberculata;100894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
414;100665;Edwardsiidae;100665;Edwardsiidae;100665;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
415;467577;Einhornia crustulenta;467577;Einhornia crustulenta;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
416;124681;Ekmania barthii;124681;Ekmania barthii;124681;NA;12.24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
417;110904;Electra;110904;Electra;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
418;111353;Electra crustulenta;467577;Einhornia crustulenta;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
419;111355;Electra pilosa;111355;Electra pilosa;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
420;130738;Enipo kinbergi;130738;Enipo kinbergi;130738;NA;NA;10.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
421;138261;Ennucula;138261;Ennucula;138261;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
422;140584;Ennucula tenuis;140584;Ennucula tenuis;140584;11.13;12.28;8.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
423;138333;Ensis;138333;Ensis;138333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
424;152356;Ensis americanus;876640;Ensis leei;152356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
425;933783;Ensis directus;933783;Ensis directus;933783;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
426;140733;Ensis ensis;140733;Ensis ensis;140733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
427;876640;Ensis leei;876640;Ensis leei;876640;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
428;160539;Ensis magnus;160539;Ensis magnus;160539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
429;140735;Ensis siliqua;140735;Ensis siliqua;140735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
430;1820;Enteropneusta;1820;Enteropneusta;1820;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
431;235816;Ephemera danica;235816;Ephemera danica;235816;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
432;1516487;Ephemera vulgata;1516487;Ephemera vulgata;1516487;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
433;235812;Ephemeroptera;235812;Ephemeroptera;235812;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
434;167144;Ephydatia fluviatilis;167144;Ephydatia fluviatilis;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
435;137943;Epitonium;137943;Epitonium;137943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
436;139718;Epitonium clathratulum;139718;Epitonium clathratulum;139718;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
437;146905;Epitonium clathrus;146905;Epitonium clathrus;146905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
438;139736;Epitonium trevelyanum;139736;Epitonium trevelyanum;139736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
439;139738;Epitonium turtonis;139738;Epitonium turtonis;139738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
440;101567;Ericthonius;101567;Ericthonius;101567;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
441;102401;Ericthonius brasiliensis;102401;Ericthonius brasiliensis;102401;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
442;102403;Ericthonius difformis;102403;Ericthonius difformis;102403;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
443;102406;Ericthonius hunteri;102409;Ericthonius rubricornis;102406;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
444;102408;Ericthonius punctatus;102408;Ericthonius punctatus;102408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
445;102409;Ericthonius rubricornis;102409;Ericthonius rubricornis;102409;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
446;195953;Erinaceusyllis erinaceus;195953;Erinaceusyllis erinaceus;195953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
447;101672;Eriopisa;101672;Eriopisa;101672;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
448;102807;Eriopisa elongata;102807;Eriopisa elongata;102807;11.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
449;181575;Erpobdella octoculata;181575;Erpobdella octoculata;181575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
450;119856;Erythrops;119856;Erythrops;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
451;119997;Erythrops elegans;119997;Erythrops elegans;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
452;119998;Erythrops erythrophthalma;852968;Erythrops erythrophthalmus;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
453;852968;Erythrops erythrophthalmus;852968;Erythrops erythrophthalmus;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
454;120006;Erythrops serrata;852974;Erythrops serratus;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
455;852974;Erythrops serratus;852974;Erythrops serratus;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
456;111484;Escharella immersa;111484;Escharella immersa;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
457;129443;Eteone;129443;Eteone;129443;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
458;231870;Eteone barbata;231870;Eteone barbata;231870;NA;7.54;NA;5.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
459;130613;Eteone flava;130613;Eteone flava;130613;9.13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
460;130614;Eteone foliosa;152250;Hypereteone foliosa;130614;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
461;130616;Eteone longa;130616;Eteone longa;130616;9.01;6.4;7.06;4.48;5.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
462;107507;Eualus pusiolus;107507;Eualus pusiolus;107507;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
463;129528;Euchone;129528;Euchone;129528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
464;130903;Euchone analis;130903;Euchone analis;130903;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
465;130906;Euchone papillosa;130906;Euchone papillosa;130906;9.99;9.05;8.19;7.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
466;156085;Euclymene praetermissa;130326;Praxillella praetermissa;156085;12.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
467;152232;Euclymeninae;152232;Euclymeninae;152232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
468;111361;Eucratea loricata;111361;Eucratea loricata;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
469;117093;Eudendrium;117093;Eudendrium;117093;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
470;110412;Eudorella;110412;Eudorella;110412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
471;110524;Eudorella emarginata;110524;Eudorella emarginata;110524;9.45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
472;110528;Eudorella hirsuta;110528;Eudorella hirsuta;110528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
473;110535;Eudorella truncatula;110535;Eudorella truncatula;110535;12.02;11.9;11.95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
474;110536;Eudorellopsis deformis;110536;Eudorellopsis deformis;110536;NA;9.12;NA;8.35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
475;885716;Euglesa casertana;885716;Euglesa casertana;885716;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
476;130624;Eulalia bilineata;130624;Eulalia bilineata;130624;NA;6.59;3.73;8.35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
477;367739;Eulalia bilineata;130624;Eulalia bilineata;367739;NA;6.59;3.73;8.35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
478;130639;Eulalia viridis;130639;Eulalia viridis;130639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
479;135;Eulimidae;135;Eulimidae;135;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
480;129446;Eumida;129446;Eumida;129446;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
481;130641;Eumida bahusiensis;130641;Eumida bahusiensis;130641;11.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
482;156087;Eumida fusigera;130690;Sige fusigera;156087;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
483;130642;Eumida ockelmanni;130642;Eumida ockelmanni;130642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
484;130643;Eumida punctifera;130643;Eumida punctifera;130643;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
485;130644;Eumida sanguinea;130644;Eumida sanguinea;130644;12.31;5.14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
486;130374;Eunereis elitoralis;130374;Eunereis elitoralis;130374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
487;130375;Eunereis longissima;130375;Eunereis longissima;130375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
488;130058;Eunice norvegica;130058;Eunice norvegica;130058;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
489;130745;Eunoe nodosa;130745;Eunoe nodosa;130745;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
490;1128;Euphausiacea;1128;Euphausiacea;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
491;117561;Euphysa aurata;117561;Euphysa aurata;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
492;131489;Eupolymnia nebulosa;131489;Eupolymnia nebulosa;131489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
493;131490;Eupolymnia nesidensis;131490;Eupolymnia nesidensis;131490;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
494;412813;Eurycercus lamellatus;412813;Eurycercus lamellatus;412813;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
495;118852;Eurydice pulchra;118852;Eurydice pulchra;118852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
496;107318;Eurynome aspera;107318;Eurynome aspera;107318;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
497;254737;Eurystheus melanops;102365;Gammaropsis melanops;254737;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
498;138239;Euspira;138239;Euspira;138239;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
499;140533;Euspira montagui;140533;Euspira montagui;140533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
500;151894;Euspira nitida;151894;Euspira nitida;151894;11.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
501;140536;Euspira pallida;140536;Euspira pallida;140536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
502;140539;Euspira pulchella;151894;Euspira nitida;140539;11.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
503;131290;Eusyllis blomstrandi;131290;Eusyllis blomstrandi;131290;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
504;129654;Exogone;129654;Exogone;129654;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
505;333453;Exogone dispar;333453;Exogone dispar;333453;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
506;155130;Exogone gemmifera;327985;Exogone naidina;155130;NA;6.83;11.11;6.62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
507;238310;Exogone hebes;757970;Parexogone hebes;238310;NA;11.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
508;327985;Exogone naidina;327985;Exogone naidina;327985;NA;6.83;11.11;6.62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
509;333456;Exogone verugera;333456;Exogone verugera;333456;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
510;130911;Fabricia sabella;130913;Fabricia stellaris;130911;NA;NA;NA;7.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
511;130913;Fabricia stellaris;130913;Fabricia stellaris;130913;NA;NA;NA;7.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
512;154918;Fabriciidae;154918;Fabriciidae;154918;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
513;130915;Fabriciola baltica;130915;Fabriciola baltica;130915;NA;5.71;NA;8.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
514;146907;Fabulina fabula;146907;Fabulina fabula;146907;8.8;5.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
515;139908;Facelina bostoniensis;139908;Facelina bostoniensis;139908;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
516;111652;Farrella repens;111652;Farrella repens;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
517;412646;Fionoidea;412646;Fionoidea;412646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
518;130103;Flabelligera affinis;130103;Flabelligera affinis;130103;NA;7.39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
519;976;Flabelligeridae;976;Flabelligeridae;976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
520;153507;Flabellina verrucosa;139987;Coryphella verrucosa;153507;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
521;111367;Flustra foliacea;111367;Flustra foliacea;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
522;128506;Funiculina quadrangularis;128506;Funiculina quadrangularis;128506;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
523;146950;Galathowenia oculata;146950;Galathowenia oculata;146950;7.98;10.75;3.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
524;102251;Gammarellus angulosus;102251;Gammarellus angulosus;102251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
525;102253;Gammarellus homari;102253;Gammarellus homari;102253;NA;8.38;NA;5.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
526;1207;Gammaridea;1207;Gammaridea;1207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
527;101558;Gammaropsis;101558;Gammaropsis;101558;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
528;102364;Gammaropsis maculata;102364;Gammaropsis maculata;102364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
529;102365;Gammaropsis melanops;102365;Gammaropsis melanops;102365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
530;102367;Gammaropsis nitida;102367;Gammaropsis nitida;102367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
531;102369;Gammaropsis palmata;102369;Gammaropsis palmata;102369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
532;101537;Gammarus;101537;Gammarus;101537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
533;102276;Gammarus duebeni;102276;Gammarus duebeni;102276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
534;102277;Gammarus finmarchicus;490103;Echinogammarus finmarchicus;102277;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
535;102279;Gammarus inaequicauda;102279;Gammarus inaequicauda;102279;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
536;234085;Gammarus lacustris;234085;Gammarus lacustris;234085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
537;102281;Gammarus locusta;102281;Gammarus locusta;102281;NA;NA;NA;NA;5.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
538;102285;Gammarus oceanicus;102285;Gammarus oceanicus;102285;NA;NA;NA;3.82;4.34;5.61;NA;3.01;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;10
539;234074;Gammarus pulex;234074;Gammarus pulex;234074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
540;102292;Gammarus salinus;102292;Gammarus salinus;102292;NA;5.41;NA;3.56;4.72;3.18;NA;2.87;NA;NA;4.02;NA;3;NA;NA;NA;NA;NA;NA;10
541;102296;Gammarus tigrinus;102296;Gammarus tigrinus;102296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.68;NA;NA;NA;NA;NA;NA;10
542;102299;Gammarus zaddachi;102299;Gammarus zaddachi;102299;NA;NA;NA;3.82;5.15;3.91;NA;5.94;NA;NA;NA;NA;3.74;NA;NA;NA;NA;NA;NA;10
543;140870;Gari fervensis;140870;Gari fervensis;140870;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
544;126505;Gasterosteus aculeatus;126505;Gasterosteus aculeatus;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
545;101;Gastropoda;101;Gastropoda;101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
546;120020;Gastrosaccus spinifer;120020;Gastrosaccus spinifer;delete;NA;7.18;4;5.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
547;130748;Gattyana amondseni;130748;Gattyana amondseni;130748;9.33;NA;7.31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
548;130749;Gattyana cirrhosa;130749;Gattyana cirrhosa;130749;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
549;152313;Gattyana cirrosa;130749;Gattyana cirrhosa;152313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
550;107374;Geryon trispinosus;107374;Geryon trispinosus;107374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
551;141782;Gibbula cineraria;1039839;Steromphala cineraria;141782;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
