Number;WoRMS_AphiaID;WoRMS_Name;WoRMS_acc_AphiaID;WoRMS_accName;BQI_treatment;EIG1;EIG2;EIG3;EIG4;EIG5;EIG6;EIG7;EIG8;EIG9;EIG10;EIG11;EIG12;EIG13;EIG14;EIG15;EIG16;EIG17;EIG18;EIG19;ES_SWE
80;140029;Ancula gibbosa;140029;Ancula gibbosa;140029;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
81;821985;Ancylus fluviatilis;821985;Ancylus fluviatilis;821985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
82;146492;Angulus tenuis;878470;Macomangulus tenuis;146492;7.96;1.53;NA;2.83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
83;882;Annelida;882;Annelida;882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
84;129789;Anobothrus gracilis;129789;Anobothrus gracilis;129789;11.04;NA;9.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
85;224838;Anodonta;224838;Anodonta;224838;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;881461;Anodonta anatina;881461;Anodonta anatina;881461;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
87;234103;Anodonta cygnea;234103;Anodonta cygnea;234103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
88;214;Anomiidae;214;Anomiidae;214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
89;106671;Anomura;106671;Anomura;106671;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;134723;Anoplodactylus petiolatus;134723;Anoplodactylus petiolatus;134723;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;150534;Antalis entalis;150534;Antalis entalis;150534;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;13551;Anthoathecata;13551;Anthoathecata;13551;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;816153;Anthoathecatae;13551;Anthoathecata;816153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;1292;Anthozoa;1292;Anthozoa;1292;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95;146500;Antinoella sarsi;130735;Bylgides sarsi;146500;7.84;6;4.97;1;4.17;3.77;1;2.72;4.08;1;1.45;NA;NA;NA;NA;1.57;1.33;NA;NA;15
96;131106;Aonides oxycephala;131106;Aonides oxycephala;131106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;131107;Aonides paucibranchiata;131107;Aonides paucibranchiata;131107;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
98;102012;Aora gracilis;102012;Aora gracilis;102012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
99;146895;Aora typica;146895;Aora typica;146895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;101368;Aoridae;101368;Aoridae;101368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
101;129240;Aphelochaeta;129240;Aphelochaeta;129240;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
102;129937;Aphelochaeta filiformis;129937;Aphelochaeta filiformis;129937;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;129938;Aphelochaeta marioni;129938;Aphelochaeta marioni;129938;NA;10.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;129942;Aphelochaeta vivipara;332672;Chaetozone vivipara;129942;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;101509;Apherusa;101509;Apherusa;101509;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;102160;Apherusa bispinosa;102160;Apherusa bispinosa;102160;NA;NA;NA;7.64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;102172;Apherusa ovalipes;102172;Apherusa ovalipes;102172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;129840;Aphrodita aculeata;129840;Aphrodita aculeata;129840;10.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;231869;Aphrodite aculeata;129840;Aphrodita aculeata;231869;10.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
110;938;Aphroditidae;938;Aphroditidae;938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
111;129850;Apistobranchus tenuis;129850;Apistobranchus tenuis;129850;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
112;129851;Apistobranchus tullbergi;129851;Apistobranchus tullbergi;129851;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
113;148594;Apocorophium lacustre;148594;Apocorophium lacustre;148594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
114;138760;Aporrhais pespelecani;138760;Aporrhais pespelecani;138760;6.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
115;136284;Apseudes spinosus;136284;Apseudes spinosus;136284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
116;136344;Araphura brevimanus;136344;Araphura brevimanus;136344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
117;138802;Arctica islandica;138802;Arctica islandica;138802;7.66;6.88;6;5.52;5.45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
118;119010;Arcturella dilatata;295579;Astacilla dilatata;119010;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
119;129206;Arenicola;129206;Arenicola;129206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
120;129867;Arenicola defodiens;129867;Arenicola defodiens;129867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
121;129868;Arenicola marina;129868;Arenicola marina;129868;NA;5.26;5.86;4.42;5.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
122;102064;Argissa hamatipes;102064;Argissa hamatipes;102064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
123;104071;Argulus;104071;Argulus;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
124;234067;Argulus foliaceus;234067;Argulus foliaceus;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
125;129430;Aricidea;129430;Aricidea;129430;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
126;525497;Aricidea (Acmira) cerrutii;525497;Aricidea (Acmira) cerrutii;525497;NA;9.05;NA;5.63;NA;NA;2.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
127;730747;Aricidea (Aricidea) minuta;730747;Aricidea (Aricidea) minuta;730747;NA;7.36;10.9;8.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
128;734532;Aricidea (Strelzovia) suecica;734532;Aricidea (Strelzovia) suecica;734532;9.27;10;7.63;7.56;6.23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
129;130555;Aricidea cerrutii;525497;Aricidea (Acmira) cerrutii;130555;NA;9.05;NA;5.63;NA;NA;2.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
130;146503;Aricidea jeffreysi;525497;Aricidea (Acmira) cerrutii;146503;NA;9.05;NA;5.63;NA;NA;2.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
131;155032;Aricidea jeffreysii;525497;Aricidea (Acmira) cerrutii;155032;NA;9.05;NA;5.63;NA;NA;2.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
132;130564;Aricidea minuta;730747;Aricidea (Aricidea) minuta;130564;NA;7.36;10.9;8.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
133;130572;Aricidea suecica;734532;Aricidea (Strelzovia) suecica;130572;9.27;10;7.63;7.56;6.23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
134;824337;Armiger crista;824337;Armiger crista;824337;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
135;138804;Armina loveni;138804;Armina loveni;138804;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
